COUNTY_NAME,POPULATION,STATE
"ATKINSON COUNTY, GA",8375,GA
"BACON COUNTY, GA",11096,GA
"BAKER COUNTY, GA",3451,GA
"BALDWIN COUNTY, GA",45720,GA
"BANKS COUNTY, GA",18395,GA
"BARROW COUNTY, GA",69367,GA
"BARTOW COUNTY, GA",100157,GA
"BEN HILL COUNTY, GA",17634,GA
"BERRIEN COUNTY, GA",19286,GA
"BIBB COUNTY, GA",155547,GA
"BLECKLEY COUNTY, GA",13063,GA
"BRANTLEY COUNTY, GA",18411,GA
"BROOKS COUNTY, GA",16243,GA
"BRYAN COUNTY, GA",30233,GA
"BULLOCH COUNTY, GA",70217,GA
"BURKE COUNTY, GA",23316,GA
"BUTTS COUNTY, GA",23655,GA
"CALHOUN COUNTY, GA",6694,GA
"CAMDEN COUNTY, GA",50513,GA
"CANDLER COUNTY, GA",10998,GA
"CARROLL COUNTY, GA",110527,GA
"CATOOSA COUNTY, GA",63942,GA
"CHARLTON COUNTY, GA",12171,GA
"CHATHAM COUNTY, GA",265128,GA
"CHATTAHOOCHEE COUNTY, GA",11267,GA
"CHATTOOGA COUNTY, GA",26015,GA
"CHEROKEE COUNTY, GA",214346,GA
"CLARKE COUNTY, GA",116714,GA
"CLAY COUNTY, GA",3183,GA
"CLAYTON COUNTY, GA",259424,GA
"CLINCH COUNTY, GA",6798,GA
"COBB COUNTY, GA",688078,GA
"COFFEE COUNTY, GA",42356,GA
"COLQUITT COUNTY, GA",45498,GA
"COLUMBIA COUNTY, GA",124053,GA
"COOK COUNTY, GA",17212,GA
"COWETA COUNTY, GA",127317,GA
"CRAWFORD COUNTY, GA",12630,GA
"CRISP COUNTY, GA",23439,GA
"DADE COUNTY, GA",16633,GA
"DAWSON COUNTY, GA",22330,GA
"DECATUR COUNTY, GA",27842,GA
"DEKALB COUNTY, GA",691893,GA
"DODGE COUNTY, GA",21796,GA
"DOOLY COUNTY, GA",14918,GA
"DOUGHERTY COUNTY, GA",94565,GA
"DOUGLAS COUNTY, GA",132403,GA
"EARLY COUNTY, GA",11008,GA
"ECHOLS COUNTY, GA",4034,GA
"EFFINGHAM COUNTY, GA",52250,GA
"ELBERT COUNTY, GA",20166,GA
"EMANUEL COUNTY, GA",22598,GA
"EVANS COUNTY, GA",11000,GA
"FANNIN COUNTY, GA",23682,GA
"FAYETTE COUNTY, GA",106567,GA
"FLOYD COUNTY, GA",96317,GA
"FORSYTH COUNTY, GA",175511,GA
"FRANKLIN COUNTY, GA",22084,GA
"FULTON COUNTY, GA",920581,GA
"GILMER COUNTY, GA",28292,GA
"GLASCOCK COUNTY, GA",3082,GA
"GLYNN COUNTY, GA",79626,GA
"GORDON COUNTY, GA",55186,GA
"GRADY COUNTY, GA",25011,GA
"GREENE COUNTY, GA",15994,GA
"GWINNETT COUNTY, GA",805321,GA
"HABERSHAM COUNTY, GA",43041,GA
"HALL COUNTY, GA",179684,GA
"HANCOCK COUNTY, GA",9429,GA
"HARALSON COUNTY, GA",28780,GA
"HARRIS COUNTY, GA",32024,GA
"HART COUNTY, GA",25213,GA
"HEARD COUNTY, GA",11834,GA
"HENRY COUNTY, GA",203922,GA
"HOUSTON COUNTY, GA",139900,GA
"IRWIN COUNTY, GA",9538,GA
"JACKSON COUNTY, GA",60485,GA
"JASPER COUNTY, GA",13900,GA
"JEFF DAVIS COUNTY, GA",15068,GA
"JEFFERSON COUNTY, GA",16930,GA
"JENKINS COUNTY, GA",8340,GA
"JOHNSON COUNTY, GA",9980,GA
"JONES COUNTY, GA",28669,GA
"LAMAR COUNTY, GA",18317,GA
"LANIER COUNTY, GA",10078,GA
"LAURENS COUNTY, GA",48434,GA
"LEE COUNTY, GA",28298,GA
"LIBERTY COUNTY, GA",63453,GA
"LINCOLN COUNTY, GA",7996,GA
"LONG COUNTY, GA",14464,GA
"LOWNDES COUNTY, GA",109233,GA
"LUMPKIN COUNTY, GA",29966,GA
"MCDUFFIE COUNTY, GA",21875,GA
"MCINTOSH COUNTY, GA",14333,GA
"MACON COUNTY, GA",14740,GA
"MADISON COUNTY, GA",28120,GA
"MARION COUNTY, GA",8742,GA
"MERIWETHER COUNTY, GA",21992,GA
"MILLER COUNTY, GA",6125,GA
"MITCHELL COUNTY, GA",23498,GA
"MONROE COUNTY, GA",26424,GA
"MONTGOMERY COUNTY, GA",9123,GA
"MORGAN COUNTY, GA",17868,GA
"MURRAY COUNTY, GA",39628,GA
"MUSCOGEE COUNTY, GA",189885,GA
"NEWTON COUNTY, GA",99958,GA
"OCONEE COUNTY, GA",32808,GA
"OGLETHORPE COUNTY, GA",14899,GA
"PAULDING COUNTY, GA",142324,GA
"PEACH COUNTY, GA",27695,GA
"PICKENS COUNTY, GA",29431,GA
"PIERCE COUNTY, GA",18758,GA
"PIKE COUNTY, GA",17869,GA
"POLK COUNTY, GA",41475,GA
"PULASKI COUNTY, GA",12010,GA
"PUTNAM COUNTY, GA",21218,GA
"QUITMAN COUNTY, GA",2513,GA
"RABUN COUNTY, GA",16276,GA
"RANDOLPH COUNTY, GA",7719,GA
"RICHMOND COUNTY, GA",200549,GA
"ROCKDALE COUNTY, GA",85215,GA
"SCHLEY COUNTY, GA",5010,GA
"SCREVEN COUNTY, GA",14593,GA
"SEMINOLE COUNTY, GA",8729,GA
"SPALDING COUNTY, GA",64073,GA
"STEPHENS COUNTY, GA",26175,GA
"STEWART COUNTY, GA",6058,GA
"SUMTER COUNTY, GA",32819,GA
"TALBOT COUNTY, GA",6865,GA
"TALIAFERRO COUNTY, GA",1717,GA
"TATTNALL COUNTY, GA",25520,GA
"TAYLOR COUNTY, GA",8906,GA
"TELFAIR COUNTY, GA",16500,GA
"TERRELL COUNTY, GA",9315,GA
"THOMAS COUNTY, GA",44720,GA
"TIFT COUNTY, GA",40118,GA
"TOOMBS COUNTY, GA",27223,GA
"TOWNS COUNTY, GA",10471,GA
"TREUTLEN COUNTY, GA",6885,GA
"TROUP COUNTY, GA",67044,GA
"TURNER COUNTY, GA",8930,GA
